abscissa	curvature	X	Y	theta	width_L	width_R
7.98609680128894638074e+02	-4.67651117677897534830e-02	-4.64816169933998679653e+01	-9.60135473333936886320e+01	-3.51628086384064220127e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.04881823499311963133e+02	-4.09849935615434757263e-02	-5.19220546886922491581e+01	-9.29323611396224862347e+01	-3.79147148454957916286e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.11349665080682370899e+02	-4.74399118025290236766e-02	-5.64617772873004852840e+01	-8.83563909779436329472e+01	-4.07743062444167581049e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.17394324047775398867e+02	-1.70283903336605098311e-02	-5.94719828687585447824e+01	-8.31257688481743173270e+01	-4.27227507468182921002e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.25783614075189916548e+02	-8.46152064008061019496e-03	-6.25874115080146253831e+01	-7.53407342812803619836e+01	-4.37919620272886156442e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.31607891671947527357e+02	1.01028695857579928902e-02	-6.44558136004401376340e+01	-6.98243343898946307036e+01	-4.37441636674156608677e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.37816441198044799421e+02	3.98841357063360046897e-02	-6.68718820727705747231e+01	-6.41121026320749649585e+01	-4.21924296774353013717e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.42334029527640382184e+02	3.83610058174824811172e-02	-6.93522878225895311743e+01	-6.03433998800247408667e+01	-4.04250329864619928344e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.47257776300000273295e+02	3.02637607496402463725e-02	-7.27320556269277318506e+01	-5.67708952221243734471e+01	-3.87355781220550232646e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.53451068588408134019e+02	4.57718550104628876807e-02	-7.77528890591399743926e+01	-5.31694047914097964735e+01	-3.63810241580429272190e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.59190590828246399724e+02	1.13502456281843674968e-02	-8.30375661072176853850e+01	-5.09470589334461863018e+01	-3.47417563236823445649e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
8.67582677289705770818e+02	8.39219174308049320476e-03	-9.10790991611731044486e+01	-4.85552949662395505470e+01	-3.39133551160553059489e+00	4.00000000000000000000e+00	4.00000000000000000000e+00
